,State,District,Latitude,Longitude,State name,Population,Male,Female,Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Households_with_Internet
282,Maharashtra,Latur,18.348687268993856,76.75812607802874,MAHARASHTRA,2454196,1273140,1181056,1650672,2006984,367664,2387,935,66535,6217
283,Maharashtra,Nagpur,21.196556862745105,79.02166176470584,MAHARASHTRA,4653570,2384975,2268595,3673808,3492202,390974,34667,20469,668050,57964
284,Maharashtra,Nanded,19.209316983017,77.6829048951049,MAHARASHTRA,3361292,1730075,1631217,2189425,2501741,471951,3902,13540,354189,7548
285,Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,MAHARASHTRA,1648295,833170,815125,906509,1521618,96182,8467,685,4969,2579
286,Maharashtra,Nashik,20.266912871287143,74.03824168316828,MAHARASHTRA,6107187,3157186,2950001,4345366,5237009,693052,23946,8912,94783,45039
287,Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,MAHARASHTRA,1657576,861535,796041,1137810,1437623,178925,942,340,28216,3209
288,Maharashtra,Parbhani,19.31032425249168,76.70163338870431,MAHARASHTRA,1836086,942870,893216,1157814,1328385,306364,2081,1371,187899,3982
289,Maharashtra,Pune,18.51696171428573,74.12922881632647,MAHARASHTRA,9429408,4924105,4505303,7171723,8090254,673704,134192,27090,340404,235018
290,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,CHHATTISGARH,1493984,750278,743706,951639,1422986,17332,47653,2117,781,3342
291,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,MAHARASHTRA,2634200,1344345,1289855,1939994,2239370,227465,17452,7477,121791,38570
292,Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,MAHARASHTRA,1615069,761121,853948,1199392,1307211,187197,1990,230,113467,7752
293,Maharashtra,Sangli,17.154930181086502,74.70713822937628,MAHARASHTRA,2822143,1435728,1386415,2049467,2440312,239607,9098,1260,38210,13212
294,Maharashtra,Satara,17.6737908974359,74.18052064102558,MAHARASHTRA,3003741,1510842,1492899,2225694,2691952,146970,4408,1182,141315,14093
295,Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,MAHARASHTRA,849651,417332,432319,666067,780384,26264,15471,219,24762,3517
296,Maharashtra,Solapur,17.837357937584812,75.42394823609216,MAHARASHTRA,4317756,2227852,2089904,2910676,3795424,441254,9882,1279,35497,15145
297,Maharashtra,Thane,19.698767747440264,72.79882742564581,MAHARASHTRA,11060148,5865078,5195070,8227161,8716055,1355630,280700,39149,449617,256170
298,Maharashtra,Wardha,20.80743024390242,78.57259105691062,MAHARASHTRA,1300774,668385,632389,1019458,1057096,53854,2696,2147,175417,4313
299,Maharashtra,Washim,20.282282394366213,77.25502394366208,MAHARASHTRA,1197160,620302,576858,869917,859949,142672,1707,518,179330,1875
300,Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,MAHARASHTRA,2772348,1419965,1352383,2022574,2251401,239236,4567,1596,249874,6094
301,Manipur,Bishnupur,24.50712111801243,93.8246236024845,MANIPUR,237399,118782,118617,156333,175102,18691,4264,56,76,676
302,Manipur,Chandel,24.2635812987013,94.09443844155844,MANIPUR,144182,74579,69603,90302,10810,3086,129049,136,400,184
303,Manipur,Churachandpur,24.30309718875504,93.38671506024085,MANIPUR,274143,138820,135323,195935,12034,2886,254979,152,495,837
304,Manipur,Senapati,25.08465586034914,94.03366234413956,MANIPUR,479148,247323,231825,264477,43833,1649,426819,140,2409,256
305,Manipur,Tamenglong,24.98312942238265,93.49450740072204,MANIPUR,140651,72371,68280,85006,2995,589,134760,59,425,125
306,Manipur,Thoubal,24.545392553191498,93.97959893617023,MANIPUR,422168,210845,211323,269304,267146,107323,4322,106,114,880
307,Manipur,Ukhrul,25.05900314960629,94.44129566929138,MANIPUR,183998,94718,89280,129829,7553,1115,174112,108,635,276
308,Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,MEGHALAYA,317917,161223,156694,192147,17272,3359,289708,56,1004,288
309,Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,MEGHALAYA,825922,410749,415173,578030,144935,14185,543394,2495,3111,5032
310,Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,MEGHALAYA,395124,196285,198839,187527,12456,1646,271596,34,284,510
311,Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,MEGHALAYA,142334,73170,69164,82062,7036,1050,132984,27,332,179
312,Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,MEGHALAYA,643291,324159,319132,358702,122936,106788,389956,209,3392,1630
313,Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,MEGHALAYA,383461,193715,189746,230678,6498,1533,366881,58,1313,149
314,Mizoram,Aizawl,23.90781335453101,92.85359459459472,MIZORAM,400309,199270,201039,340595,13249,5264,379134,105,1570,4019
315,Mizoram,Champhai,23.54166580976866,93.24221799485862,MIZORAM,125745,63388,62357,100802,1075,699,123446,9,151,186
316,Mizoram,Kolasib,24.2020004347826,92.73470391304348,MIZORAM,83955,42918,41037,65895,4000,4426,75210,16,108,367
317,Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,MIZORAM,117894,60599,57295,62861,1668,522,63892,52,51549,162
318,Mizoram,Lunglei,23.007717036172675,92.63512555425892,MIZORAM,161428,82891,78537,121122,5231,1290,127124,74,27543,482
319,Mizoram,Mamit,23.73852942502819,92.4330803833147,MIZORAM,86364,44828,41536,60191,2989,1782,69104,13,12328,90
320,Mizoram,Saiha,22.35744801061008,93.02827931034489,MIZORAM,56574,28594,27980,42233,933,514,54977,11,102,168
321,Mizoram,Serchhip,23.263864705882344,92.914158496732,MIZORAM,64937,32851,32086,54476,991,335,63444,6,60,131
322,Nagaland,Dimapur,25.814176811594223,93.75074057971014,NAGALAND,378811,197394,181417,278037,108900,31212,234239,566,1270,3303
323,Nagaland,Kohima,25.60311428571428,93.78600657596373,NAGALAND,267988,138966,129022,197489,25496,4384,234955,998,1519,1928
324,Nagaland,Mokokchung,26.478911764705888,94.522426006192,NAGALAND,194622,101092,93530,159494,9840,2057,181847,78,442,537
325,Nagaland,Mon,26.69207374301676,95.03072988826828,NAGALAND,250260,131753,118507,119626,8102,3444,236494,84,1256,178
326,Nagaland,Phek,25.63272986577182,94.56814563758392,NAGALAND,163418,83743,79675,105893,3563,950,158224,31,350,170
327,Nagaland,Tuensang,26.21104453280316,94.85809880715708,NAGALAND,196596,101933,94663,117511,2979,1052,191864,27,572,155
328,Nagaland,Wokha,26.202611551155112,94.1990815181518,NAGALAND,166343,84505,81838,128208,5605,2043,158236,34,318,198
329,Nagaland,Zunheboto,26.028178205128206,94.50026666666668,NAGALAND,140757,71217,69540,102881,2580,772,136995,39,286,261
330,Orissa,Baleshwar,21.48570932311624,87.08085828011933,ORISSA,2320529,1185787,1134742,1621232,2197709,94254,6434,237,111,7370
331,Orissa,Bhadrak,20.95262735257214,86.81496204516931,ORISSA,1506337,760260,746077,1094140,1398543,104202,745,169,81,2637
332,Orissa,Cuttack,20.407640646029623,85.7776810228802,ORISSA,2624470,1352760,1271710,2011469,2457729,141263,11985,1026,6276,15046
333,Orissa,Dhenkanal,20.79887159353349,85.53226836027711,ORISSA,1192811,612593,580218,829910,1185542,4805,727,124,366,1810
334,Orissa,Gajapati,19.121080882352945,84.14015091911759,ORISSA,577817,282882,294935,262537,353160,1556,219482,53,2180,635
335,Orissa,Ganjam,19.2632617564534,84.80297710437702,ORISSA,3529031,1779218,1749813,2210050,3486059,13315,23975,590,174,9049
336,Orissa,Jharsuguda,21.827058566978184,83.93581682242987,ORISSA,579505,296690,282815,405879,553587,12783,10462,1441,80,2498
337,Orissa,Kalahandi,19.784253092783523,83.1124043814433,ORISSA,1576869,787101,789768,802036,1555367,4975,11160,796,175,1953
338,Orissa,Kandhamal,20.092878624813142,84.02216352765326,ORISSA,733110,359945,373165,399786,580300,2138,148895,82,290,768
339,Orissa,Kendrapara,20.606319815982264,86.83763247572003,ORISSA,1440361,717814,722547,1089265,1386792,50247,1423,169,62,1628
